AbortionPPDFAQ
question,answer,Link
Is it normal to feel both relief and sadness after an abortion?,"Feeling relieved not to be pregnant and yet sad at the same time can be a confusing combination, but is common and understandable. Some women will know 'in their head' that having an abortion was the right decision and do not regret it, but at the same time feel sad 'in their heart' about the end of the pregnancy. However through time and talking with others this can resolve.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
Why might emotions take me by surprise weeks later after an abortion?,"Some women find that a few weeks after the abortion that they feel confused or sad, but don't know why, even though they know they made the right choice for them at the time. One of the reasons for this can be that after making the decision to have an abortion, you can become focused on the process - getting through the appointments and the procedure and then trying to get 'back to normal'. The emotions involved may be tucked away during this time and then sink in and catch up with you later.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
Is it common to feel guilty after an abortion?,"Some women feel guilty after having an abortion. This may even be so if you have held longstanding pro-choice beliefs. Some women feel guilty and ashamed about continuing with their day-to-day activities including going to work, looking after children, socialising, having fun or feeling happy etc. Feeling relief at no longer being pregnant is a common experience but can be the source of guilt too - that you 'shouldn't' feel relieved or feel happy in your everyday life. It is important to allow yourself to feel, however you feel.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What if I feel regret after an abortion?,"Some women feel that they made the wrong decision and that it might have been the right one to continue with the pregnancy, but did not realise until afterwards. This is of course natural but we can only make the best decision we can at the time.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
Is it normal to feel angry after an abortion?,"Sometimes women feel angry, either at the situation, themselves, or other people. It is perfectly natural to attach blame and direct the anger accordingly, but it doesn't necessarily mean that it was our or their 'fault'.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What are post-traumatic stress symptoms after an abortion?,"Some women experience having an abortion as scary or traumatic, and may experience some early post-traumatic stress symptoms. These difficulties might include having flashbacks or nightmares of the abortion, feeling on edge as if something bad is going to happen, and trying not to think about the abortion or avoiding things that remind you of this experience.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
Why might abortion feel like such an important life decision?,"It dawns on some women that they have made an important life decision - whether to have a baby and become a mother now, or not. At the time they may not have realised it, but for some women, realising that they were at such a crossroads can be enormous. On the face of it they are back to where they were before, but to get there have been through hospital appointments and a medical procedure. They were pregnant, and now they aren't. It can take longer to adjust if a woman feels that the abortion was not entirely her decision, perhaps because of pressure or strong influence from a partner or family.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
How do hormones affect emotions after an abortion?,"Pregnancy is a time of great hormonal activity, and after an abortion it can take several weeks for these hormones to settle down again, leaving some women feeling emotional.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
What are some ways to cope with these feelings?,Talking: It is better to acknowledge the feelings than to try to bottle them up. One way of doing this is to talk to someone.,https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
How can writing help?,"Another way of helping to address your feelings is to write them down. If it feels daunting you can limit the time setting a timer for 10 minutes or however long you choose. Is it not school work, it's just for you so don't worry about the 'quality' of it. It is just important for you to express yourself so write down everything that comes into your head during this time. Afterwards you may want to keep it or dispose of it straight away, even burning it or ripping it up which can feel a good release. You may want to do this several times and even return to ones you have written and already kept. You may notice changes in how you have felt and what you are thinking over time.",https://www.sexualhealthsheffield.nhs.uk/wp-content/uploads/2019/06/Wellbeing-after-an-abortion.pdf
